box,title,address,type,types,kosher,phone,image-src
צור,"צור, תל אביב","המסגר 13, תל אביב",מסעדת בשרים,null,כשר,053-7103242,https://images.rest.co.il/Rests/staticmaps/69084460/s1w566h250lon34.785lat32.062721.png
Thai at Har Sinai -תאילנדית,"Thai at Har Sinai -תאילנדית, תל אביב","הר סיני 1, תל אביב",null,null,null,03-5666975,https://images.rest.co.il/Rests/staticmaps/80322627/s1w566h250lon34.778934lat32.066236.png
ורד הצלע,"ורד הצלע, תל אביב","דרך קיבוץ גלויות 34, תל אביב",מסעדת בשרים,null,כשר,053-9379342,https://images.rest.co.il/Rests/staticmaps/80249855/s1w566h250lon34.768596lat32.051648.png
מיט קורנר,"מיט קורנר, תל אביב","אחד העם 38, תל אביב",מסעדת בשרים,null,null,053-7103181,https://images.rest.co.il/Rests/staticmaps/80161744/s1w566h250lon34.772637lat32.064138.png
קזינו סן רמו,"קזינו סן רמו, יפו, תל אביב","נחמה 2, יפו, תל אביב",בית קפה,null,₪₪,053-8096613,https://images.rest.co.il/Rests/staticmaps/80148103/s1w566h250lon34.760267lat32.055843.png
שחר ורן בטעם טוב,"שחר ורן בטעם טוב, תל אביב",תל אביב,null,null,null,052-9127983,https://images.rest.co.il/Rests/staticmaps/80121831/s1w566h250lon34.778934lat32.066236.png
בלום בר - Bloom-Bar,"בלום בר - Bloom-Bar, מתחם שינקין, תל אביב","המלך ג'ורג' 2, מתחם שינקין, תל אביב",פאב-בר,null,null,054-6285664,https://images.rest.co.il/Rests/staticmaps/80032066/s1w566h250lon34.77074lat32.069954.png
פולקלה בבומביי,"פולקלה בבומביי, תל אביב","החשמונאים 96, תל אביב",מסעדה הודית,null,null,053-9368654,https://images.rest.co.il/Rests/staticmaps/80299245/s1w566h250lon34.785939lat32.06928.png
אמש,"אמש, תל אביב","לילינבלום 30, תל אביב",מסעדה ים תיכונית,"בשרים , דגים , טאפאס וקוקטייל",null,053-6113580,https://images.rest.co.il/Rests/staticmaps/80317226/s1w566h250lon34.770702lat32.06216.png
נישה 166,"נישה 166, דיזנגוף, תל אביב","דיזנגוף 166, תל אביב",מסעדת בשרים,null,null,03-5287438,https://images.rest.co.il/Rests/staticmaps/80206201/s1w566h250lon34.77438lat32.084485.png
פלאפל מבורך,"פלאפל מבורך, אבן גבירול, תל אביב","אבן גבירול 189, תל אביב",מסעדה טבעונית,null,₪,053-9439338,https://images.rest.co.il/Rests/staticmaps/22225110/s1w566h250lon34.783294lat32.094282.png
קפה הנגב,"קפה הנגב, תל אביב","הנגב 12, תל אביב",בית קפה,null,null,053-4275342,https://images.rest.co.il/Rests/staticmaps/80241585/s1w566h250lon34.779086lat32.061495.png
בלו בירד,"בלו בירד, תל אביב  טיילת","הרברט סמואל 5, תל אביב",מסעדה איטלקית,null,null,053-9372476,https://images.rest.co.il/Rests/staticmaps/80198650/s1w566h250lon34.764115lat32.071016.png
סאלם בומביי,"סאלם בומביי, תל אביב  פינת נחלת בנימין","יהודה הלוי 44, תל אביב",מסעדה הודית,null,null,053-5495259,https://images.rest.co.il/Rests/staticmaps/80020873/s1w566h250lon34.778934lat32.066236.png
בייקרי 19 - Bakery,"בייקרי 19 - Bakery, צפון תל אביב","וייסבורג 19, צפון תל אביב",קונדיטוריה-מאפיה,null,null,053-7931727,https://images.rest.co.il/Rests/staticmaps/80174193/s1w566h250lon34.82885lat32.120904.png
רג'ינה בתחנה,"רג'ינה בתחנה, תל אביב  מתחם התחנה, מבנה 10, נווה צדק",תל אביב,מסעדת בשרים,"אוכל ביתי , אוכל טבעוני , ארוחת בוקר , בשרים ודגים",כשר למהדרין,053-9428604,https://images.rest.co.il/Rests/staticmaps/80288902/s1w566h250lon34.761868lat32.058681.png
ILAN'S,"ILAN'S, יד אליהו, תל אביב","יגאל אלון 51, יד אליהו, תל אביב",בית קפה,null,כשר,053-9348969,https://images.rest.co.il/Rests/staticmaps/80315538/s1w566h250lon34.791914lat32.061511.png
"ד""ר שקשוקה","ד""ר שקשוקה, יפו, תל אביב  יפו","בית אשל 3, יפו, תל אביב",מסעדה טריפוליטאית,"אוכל טריפוליטאי , אוכל צמחוני , בשרים , שווארמה , תבשיל",כשר,053-9444193,https://images.rest.co.il/Rests/staticmaps/27432500/s1w566h250lon34.756391lat32.054321.png
בית אריאלה - Ariellas House,"בית אריאלה - Ariellas House, תל אביב","הרכבת 2, תל אביב",פאב-בר,null,null,053-4272741,https://images.rest.co.il/Rests/staticmaps/80238236/s1w566h250lon34.776037lat32.063626.png
הו מאמא - oh mama,"הו מאמא - oh mama, תל אביב","בן יהודה 69, תל אביב",מסעדת בשרים,null,כשר,053-4274793,https://images.rest.co.il/Rests/staticmaps/80241418/s1w566h250lon34.770029lat32.080397.png
דה סטריטס - The Streets,"דה סטריטס - The Streets, תל אביב","המלך ג'ורג' 70, תל אביב",בית קפה,null,null,053-8093684,https://images.rest.co.il/Rests/staticmaps/80153133/s1w566h250lon34.776833lat32.076109.png
בוסתן אבו גוש,"בוסתן אבו גוש, דיזנגוף, תל אביב","דיזנגוף 85, תל אביב",חומוס,null,כשר,053-4872795,https://images.rest.co.il/Rests/staticmaps/80134688/s1w566h250lon34.774326lat32.077192.png
מקדונלד'ס,"מקדונלד'ס, שדרות רוטשילד, תל אביב","שד' רוטשילד 33, תל אביב",מסעדת המבורגרים,null,₪,053-9439572,https://images.rest.co.il/Rests/staticmaps/63381070/s1w566h250lon34.773356lat32.063749.png
רול נ'רול - rol n rol,"רול נ'רול - rol n rol, תל אביב","דרך מנחם בגין 78, תל אביב",מסעדה אסייאתית,null,null,053-9379473,https://images.rest.co.il/Rests/staticmaps/80220661/s1w566h250lon34.785204lat32.067095.png
לחמים,"לחמים, אבן גבירול, תל אביב","אבן גבירול 125, תל אביב",בית קפה,null,כשר,053-5842786,https://images.rest.co.il/Rests/staticmaps/80267134/s1w566h250lon34.782223lat32.088219.png
Background32,"Background32, תל אביב","בן יהודה 32, תל אביב",פאב-בר,null,null,053-4274429,https://images.rest.co.il/Rests/staticmaps/80240545/s1w566h250lon34.768193lat32.076289.png
לה גאטרי - La Gaterie,"לה גאטרי - La Gaterie, תל אביב","בן יהודה, תל אביב",בית קפה,null,₪,053-9441601,https://images.rest.co.il/Rests/staticmaps/80062714/s1w566h250lon34.773515lat32.088248.png
mucha - mucha,"mucha - mucha, אבן גבירול, תל אביב","אבן גבירול 19, תל אביב",פיצריה,null,₪,053-9383387,https://images.rest.co.il/Rests/staticmaps/80298898/s1w566h250lon34.781674lat32.073094.png
רוזינקא,"רוזינקא, תל אביב","לילינבלום 41, תל אביב",מסעדה ים תיכונית,null,null,053-9367565,https://images.rest.co.il/Rests/staticmaps/80194730/s1w566h250lon34.772856lat32.062579.png
Zoo-Zoo  זו-זו,"Zoo-Zoo  זו-זו, תל אביב","שד' רוטשילד, תל אביב",פאב-בר,null,null,052-5566257,https://images.rest.co.il/Rests/staticmaps/80283194/s1w566h250lon34.76997lat32.062823.png
אוזריה,"אוזריה , פלורנטין, תל אביב","מטלון 44, פלורנטין, תל אביב",מסעדה ים תיכונית,null,₪₪₪,053-8094251,https://images.rest.co.il/Rests/staticmaps/80136014/s1w566h250lon34.772731lat32.058798.png
אייסברג וולקנו - Iceberg Vulcano,"אייסברג וולקנו  - Iceberg Vulcano, נמל תל-אביב  נמל תל אביב, האנגר 11","התערוכה 3, נמל תל-אביב",גלידריה,null,₪₪,053-9443351,https://images.rest.co.il/Rests/staticmaps/80100107/s1w566h250lon34.775565lat32.09727.png
אונסיס,"אונסיס, תל אביב","המשביר 2, תל אביב",null,null,null,077-9810528,https://images.rest.co.il/Rests/staticmaps/80322442/s1w566h250lon34.778934lat32.066236.png
אבו  זאקי,"אבו  זאקי, תל אביב","בן יהודה 113, תל אביב",מסעדת בשרים,null,null,03-5223306,https://images.rest.co.il/Rests/staticmaps/80329103/s1w566h250lon34.778934lat32.066236.png
אמיר נבו קייטרינג,"אמיר נבו קייטרינג, דיזנגוף, תל אביב","דיזנגוף, תל אביב",קייטרינג,null,null,054-7409740,https://images.rest.co.il/Rests/staticmaps/80067085/s1w566h250lon34.775015lat32.075484.png
מרכז אסיה - מאפייה בוכרית,"מרכז אסיה - מאפייה בוכרית, תל אביב","מסילת ישרים 41, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9439890,https://images.rest.co.il/Rests/staticmaps/37185740/s1w566h250lon34.776556lat32.050871.png
דונטלו,"דונטלו, אבן גבירול, תל אביב","אבן גבירול 123, תל אביב",פיצריה,null,₪,053-5495070,https://images.rest.co.il/Rests/staticmaps/80302275/s1w566h250lon34.782205lat32.08812.png
אקסודיה,"אקסודיה, נאות אפקה, תל אביב","בני אפרים 228, נאות אפקה, תל אביב",מסעדת קונספט,null,כשר למהדרין,03-6449989,https://images.rest.co.il/Rests/staticmaps/80197392/s1w566h250lon34.817857lat32.11709.png
בורגראנץ',"בורגראנץ', קניון עזריאלי, תל אביב  קניון עזריאלי, קומה 1","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",מסעדת המבורגרים,null,₪,053-8093492,https://images.rest.co.il/Rests/staticmaps/64405150/s1w566h250lon34.791061lat32.074354.png
מסימיליאנו - מאסטר שף,"מסימיליאנו - מאסטר שף, תל אביב","בן יהודה 15, תל אביב",קייטרינג,null,null,053-8095612,https://images.rest.co.il/Rests/staticmaps/80302055/s1w566h250lon34.76798lat32.075138.png
קפה פינה,"קפה פינה, פלורנטין, תל אביב  פינת ידידיה פרנקל 1","אברבנאל 29, פלורנטין, תל אביב",בית קפה,null,null,053-9387512,https://images.rest.co.il/Rests/staticmaps/80229005/s1w566h250lon34.767183lat32.057237.png
איטלקיה בתחנה,"איטלקיה בתחנה, תל אביב","מתחם התחנה, תל אביב",מסעדה איטלקית,"אוכל איטלקי , ארוחת בוקר ופירות ים",null,053-4293949,https://images.rest.co.il/Rests/staticmaps/25740280/s1w566h250lon34.778934lat32.066236.png
סלט ישראלי,"סלט ישראלי, אבן גבירול, תל אביב","אבן גבירול 61, תל אביב",סנדוויץ' בר,null,כשר,053-7102929,https://images.rest.co.il/Rests/staticmaps/80308813/s1w566h250lon34.781164lat32.078593.png
סטאקס - Stax,"סטאקס - Stax, תל אביב","מזא""ה 49, תל אביב",פאב-בר,null,null,053-9418429,https://images.rest.co.il/Rests/staticmaps/80266412/s1w566h250lon34.77843lat32.06579.png
וופל בר,"וופל בר, אבן גבירול, תל אביב","אבן גבירול 61, תל אביב",בית קפה,null,₪,053-9376008,https://images.rest.co.il/Rests/staticmaps/80150618/s1w566h250lon34.781164lat32.078593.png
קפה חמנייה - Hamanya cafe‎‎,"קפה חמנייה - Hamanya cafe‎‎, מתחם בזל, תל אביב","בזל 37, מתחם בזל, תל אביב",בית קפה,null,null,053-9386360,https://images.rest.co.il/Rests/staticmaps/80294565/s1w566h250lon34.780317lat32.089859.png
סולטנה,"סולטנה, אבן גבירול, תל אביב","אבן גבירול 52, תל אביב",מסעדה צמחונית,null,null,053-9370528,https://images.rest.co.il/Rests/staticmaps/80313949/s1w566h250lon34.781418lat32.077741.png
פליים בר - Flame Bar,"פליים בר - Flame Bar, נחלת בנימין, תל אביב","נחלת בנימין 42, תל אביב",פאב-בר,null,null,053-6130346,https://images.rest.co.il/Rests/staticmaps/80177214/s1w566h250lon34.771155lat32.064396.png
POC.CAFE,"POC.CAFE, פלורנטין, תל אביב  פינת פרנקל 37","כפר גלעדי 48, פלורנטין, תל אביב",בית קפה,null,₪,053-9415482,https://images.rest.co.il/Rests/staticmaps/80302994/s1w566h250lon34.770316lat32.057311.png
די בראסרי - D-Brasserie,"די בראסרי  - D-Brasserie, תל אביב  מלון דן","הירקון 99, תל אביב",מסעדה צרפתית,null,כשר,053-6130231,https://images.rest.co.il/Rests/staticmaps/80175914/s1w566h250lon34.767899lat32.079311.png
סופרה,"סופרה, שדרות רוטשילד, תל אביב","שד' רוטשילד 11, תל אביב",מסעדה גרוזינית,אוכל גרוזיני ובשרים,₪₪₪,053-9384902,https://images.rest.co.il/Rests/staticmaps/80230155/s1w566h250lon34.770296lat32.063094.png
לאב איט-אספרסו ברייק - loveat. organic coffee break,"לאב איט-אספרסו ברייק - loveat. organic coffee break, תל אביב  פינת מקווה ישראל 12","ברזילי 1, תל אביב",בית קפה,null,₪,053-9366003,https://images.rest.co.il/Rests/staticmaps/80296313/s1w566h250lon34.775202lat32.062288.png
יוקו סושי בר,"יוקו סושי בר, פלורנטין, תל אביב","פלורנטין 5, תל אביב",מסעדה יפנית,אוכל יפני וסושי,₪,053-9444010,https://images.rest.co.il/Rests/staticmaps/80021384/s1w566h250lon34.767788lat32.056287.png
רולדין - ROLADIN,"רולדין  - ROLADIN, אבן גבירול, תל אביב","אבן גבירול 24, תל אביב",בית קפה,null,כשר,053-9440285,https://images.rest.co.il/Rests/staticmaps/28618210/s1w566h250lon34.781858lat32.074204.png
סטאקס STAX,"סטאקס STAX, תל אביב","מזא""ה 49, תל אביב",null,null,null,03-9408199,https://images.rest.co.il/Rests/staticmaps/80322029/s1w566h250lon34.778934lat32.066236.png
אבראג',"אבראג', תל אביב  יפו העתיקה","ככר קדומים 6, תל אביב",מסעדת דגים,null,null,053-9345526,https://images.rest.co.il/Rests/staticmaps/80112857/s1w566h250lon34.778934lat32.066236.png
חומוס בית לחם,"חומוס בית לחם, פלורנטין, תל אביב","פלורנטין 5, תל אביב",חומוס,null,null,053-9376188,https://images.rest.co.il/Rests/staticmaps/80269401/s1w566h250lon34.767788lat32.056287.png
שניצליין,"שניצליין, תל אביב  שוק צפון","ראול וולנברג 20, תל אביב",מסעדת בשרים,null,null,03-7434777,https://images.rest.co.il/Rests/staticmaps/80322995/s1w566h250lon34.778934lat32.066236.png
ג'ירף קייטרינג - giraffe catering,"ג'ירף קייטרינג - giraffe catering, רחוב הארבעה, תל אביב  קומה 3","הארבעה 18, תל אביב",קייטרינג,null,null,053-9379309,https://images.rest.co.il/Rests/staticmaps/80218916/s1w566h250lon34.785269lat32.070292.png
הבן של הסורי,"הבן של הסורי, תל אביב","הלל הזקן 10, תל אביב",חומוס,null,null,053-9374318,https://images.rest.co.il/Rests/staticmaps/80209520/s1w566h250lon34.769521lat32.070385.png
פאראקאלו - Parakalo,"פאראקאלו - Parakalo, יפו, תל אביב","נחום גולדמן 6, יפו, תל אביב",מסעדה יוונית,אוכל יווני ובשרים,₪₪,053-9414920,https://images.rest.co.il/Rests/staticmaps/80022520/s1w566h250lon34.757065lat32.056513.png
